id,text
1,pero q é esa cousa tan fea peluda que parece que vai morrer o fillo da gran puta
2,as tribos de animais fóra agoraaaa...
3,muller tiñas que ser
4,só serven para eso
5,mellor quedas na casa
6,que buenorra
7,está para facerlle un favor
8,"que crido tescho, seguro que ías moi curta"
9,que presumido/que fachendoso
10,hai que partirlles as bragas
11,que meniñas están a entrar
12,sempre está canso
13,"no che coñezo, pero es un mal profesional"
14,es un machista e un mal profesional. tes un problema moi grave.
15,vaia merda de roupa que levas.
16,gorda de merda
17,gordo de merda
18,vales 9 de elixir
19,ese é bautista
20,imbécil
21,subnormal
22,carapan
23,atontao
24,puta merda
25,desde cando as boyeras sabedes dese tema
26,a ver se te operas o cerebro
27,pero onde estudaches??
28,"mona, que de quen descendía ela"
29,"perdoa por insultarche, pero xa che estou collendo agarimo."
30,de qué semana estás??
31,toda a masa aí
32,miúda nube de azucre
33,deixa de ser paleto
34,fala ben para que che entendan
35,vou deixar de seguirte
36,noxo e pensan que iso é normal
37,unha branca gañouche
38,única vez que alegrome que perda unha española
39,o negro debía ir mal vestido
40,algo iría roubar
41,seguro que o negro vaciloulle
42,agresion racista??? unha merda
43,ela non é como as demais
44,de perfil non se nota a tripa
45,miúda nube de azucre estás feita
46,non pasas fame? miúda foca
47,de cantos meses estás irmá???
48,"vaia talegón, pésate gorda!!!!"
49,menos pintura que non vas ao circo pallasa!!!
50,"vas ao entroido???pareces un pallaso, pasácheste coa maquillaxe."
51,cando é a actuación pallasa????
52,tes unha boa boca para meter a miña polla!!!
53,estades toas saídas
54,feminazis de merda
55,putas feminazis
56,fai o que che salga do cona que eu direi o que me salga da polla
57,cona
58,ameixa
59,chichi
60,polla
61,nabo
62,porra
63,fala ben cateto
64,cuadrilla de catetos
65,pésame a polla
66,que payasada
67,a canto che pagan o quilo ??
68,"agresion, unha merda!!!"
69,a culpa é do negro
70,o negro iba mal vestido
71,cómeme o nabo
72,o negro ao trullo
73,"abriríache a cona ata rompela, zorrita"
74,"para que haxa máis emprego, dedicarvos a estar na casa"
75,"para que haxa máis emprego, tedes que estar na casa"
76,faime sexo oral zorria
77,faime sexo oral raposa
78,zorrita
79,cómeme a polla
80,súame a polla o que dis
81,pedazo de puta
82,miúda raposa de merda
83,dás noxo maricón
84,noxo dades e pensades que iso é normal???
85,maricon de merda
86,dades noxo maricas
87,pedazo de putos
88,podedes comer a miña polla
89,hai un maricon cerca.
90,como outras raposas de escoura como ti
91,como lle gusta a miña polla as túas fotos
92,pois telo fácil se me comes a polla.
93,dades noxo
94,quérocha meter toda polo teu enorme ano
95,as supostas conas con patas non dades pa máis
96,vos queixades sen motivo
97,vos queixades sen motivo da misoxinia
98,"se che coubese na boca a miña polla, non dirías máis"
99,cómeme a polla
100,"cómeme a polla, se fose aí e te follara quedarías tranquila."
101,se fose aí e te follara quedarías tranquila.
102,como tes hoxe a cona???
103,deixarías que te violase o que che mola????
104,mmm que ricas tetas amor. quero maisssss
105,como sabes que non es maricon se non probaches unha boa polla???
106,a meniña quere uns azoutes do miña polla ???
107,as pinochas chamando a atención
108,queredes unhas “tesoiras “ bolleras???
109,hai un maricon e non son eu
110,el é gai así que nos podemos burlar del
111,"maricon, oxalá te morras"
112,maricon non pensaches en suicidarte?
113,bolleras queredes unha polla? jajaja
114,non ensines tanto o cu e pon as tetas ao aire
115,queres unha boa polla para esas tetas que ensinas ?
116,ferros
117,táboas
118,as táboas de arriba a abaixo
119,ma carne ten a miña bicicleta
120,menos carne q empanada ce humita
121,"non sei para que se tapa, se non ten nada"
122,menos carne que xeonllo de pajarillo
123,eso si é unha tesoira
124,mesma táboa
125,muller?
126,esas tetiñas
127,teñen menos carne que as táboas de multiplicar
128,"e lembren, calquera táboa en 4 serve como mesa"
129,polo menos tetas non van chupar
130,dan noxo
131,qué noxo
132,"vende aire, es unha pantasma"
133,paleta
134,"paleto, miúdo acento"
135,subnormal
136,eres galego ? ¿ onde tes a droga gardada ?
137,onde tes a droga gardada ?
138,oxala morra o teu fillo
139,manco
140,coxo
141,non tes alto valor
142,ti que es unha viciosa desas?
143,porca
144,negra
145,"gorda, non sei como te atreves saír así á rúa"
146,non sei como te atreves saír así á rúa
147,muller tiñas que ser.
148,mongolo
149,menudo acento tes
150,menudo acento tes
151,"vai falar coas vacas, paleta"
152,non se che entende nese idioma que falas
153,búscate unha vida
154,dades noxo.
155,non sei se é máis horrible a roupa ou ela.
156,quen a deixou saír con esa roupa de casa? seica non ten amigos?
157,ridícula
158,"non necesitas comprarche unha talla máis de pantalón, o que necesitas é adelgazar"
159,"ridícula, patético, non che dá vergoña ir así?"
160,muller tiña que ser
161,bollera de merda
162,oxalá morras
163,suicidate dunha vez
164,feminazi
165,maltratahomes
166,vaite á cociña
167,todas putas menos mamá.
168,nosotros queremos un día do orgullo hetero
169,ten falofobia e éntranlle 10 á vez
170,tragou falos dende primaria
171,comía as pollas como os lacasitos
172,mais falso
173,ooooooooooi mira somos del mismo grupo distorsionamos las palabras como retrasados.
174,somos mellores que ti que non falas como nós.
175,cómenme os collóns.
176,non me renda ningún dialecto de atrasados.
177,"en españa fálase español e á merda os especialitos, cultura de retramongolos."
178,son galleguiñooooooo oleee oleee
179,cómenme os putos collóns.
180,falades cabtando
181,non se vos entende nin falando castelán
182,paletos
183,"demasiado ""patriotismo"" en galicia, paréceme de parvos analfabetos."
184,desde a escola están a che comer a cabeza co tribalismo.
185,"parécenme atrasados de merda que necesitan sentirse especiais, e o peor de todo é que as cancións en galego son malas, a poesía horriible, os libros penosos, e mellor xa non che falo das películas por que non lle dá o orzamento para entrar na mesma categoría"
186,sodes inferiores
187,a ninguén lle interesa o teu papel de merdaaa
188,"non funciona nin o tradutor, se escribises e falases en castelán, igual .... re seguía máis xente, tampouco é tan dificil"
189,sei que che gusto e que por iso sobes ese tipo de fotos para chamar a miña atención.
190,"pero tranquila meniña, xa es digna de recibir as miñas mensaxes."
191,"séntete afortunada de que un gavilán como eu fixouse nunha plebeya coma ti, you know?"
192,pareces un trans
193,e as femitolas???
194,pésame a polla
195,que pallasada xd
196,que cara tan chea de expresións tan falsas e feas
197,e feminazis de merda se queren ser putas sedelo pero basta dos seus pobres argumentos na súa pseudolucha
198,non te piques
199,"é asi vas de feminista, e só pensas en follar"
200,e só pensas en follar
201,fotos tipo amo mo cona! dps decis que vos tratan como anaco de carne e estades to saídas
202,comparte o resto de conver pedazo de puta
203,quero que me fagas sexo oral 1 hora
204,abriache a cona ata q sangres
205,morrete
206,como se mañá te estampas
207,filla de puta
208,pon a miña puta ameaza
209,me cago na túa puta nai
210,"e non, xa vexo que non queres educación. pobres os teus pais"
211,se cadra a quen encerran ao loquero é a ti
212,"a ver si,asusta pero faiche algo en plan pégate ou algo non sei?"
213,"pensei que o feminismo era a igualdade da muller ante o home, non ensinar as tetas por ahi"
214,ti fai oq t saia da cna que eu direi oq me saia da polla
215,ten unha boa boca para exacular nela
216,mmmmm deliciosa eu tocome todos os dias coas tuas fotos
217,queres probalo?ta ben bo
218,ti naciches para compracerme
219,tan pouco pudor tes de subir esas fotos?
220,"respéctoo perfectamente de verdade, incluso o feminismo o admiro"
221,pero pasame unha foto tetas se tan pouco impórtache
222,"pero as cousas que penso non mas podo calar, é por enfermidade xa"
223,fasme un zing fermosa?
224,que non esga na cabeza de nenas caprixosas
225,e niñatas…
226,cnd sexas maior o veras
227,por q non me mandas unha foto mellor? eu tamén son libre. e libre de pedir o q se me antona
228,es unha moza moi fermosa e quente
229,"comparte estas 3 fotos se tes valor, non só unha. sen a censura"
230,nude x nude?
231,que noxo das
232,"a merda igual de grandes, as feminazis"
233,mmmmm k rikas tetas amor
234,quérocha meter todo polo teu enorme ano
235,as supostas conas con patas non dades para máis
236,quero unha tua foto sen censura porquè ti es moi guapa
237,"ola guapa, pódoche comer a cona?"
238,"vaxina fermosa, podo ver claramente o seu corpo fermoso"
239,ola guapa ti es mio rica
240,mais mente crrrada a moza
241,nótase que é un chiste con zapatos
242,non deixas de queixarte de cantas pollas ves
243,se che coubese na boca non dirias o mesmo ;)
244,"nai a cabeciña, cuidatela muller"
245,responde xfa e mandame unha foto espida de todo o teu corpo
246,pero á fin e ao cabo o feminismo é puta merda de porcino
247,"en verdade o momento de gloria viría ao arrincarche os dentes un por un e depués violarte e deixar que vivas co trauma. como outras raposas de escoura como ti. e si, ás bruxas como ti hai que queimalas."
248,e esta señorita é psicóloga? pobres maltratadores... verdade? vergoña deberíache dar lanzar este vídeo. a mulleres morren por eses pobrecitos que ti chamas.
249,"vas falar ti de vocabulario?? jajajajaja cos vosos ""besiños"", ""adiosiño"".... aprendede dos q falan correctamente cuadrilla de catetos!!! demasiada cocaina vos metestes por aí... jajajajaja"
250,unha merda.... a verdade jajaja
251,"tes razón, un@ feminazi polo simple feito de que non es muller, nin te escoitaría e encima enfadaríase"
252,ten un debate e fálaslle de machirulos e demais diarrea dialéctica femillorona…
253,foder que fea
254,como me gustaría lamerte enteira e terminar nesas tetas
255,3 toneladas sobre o ceo
256,apenas cabe ela na casa
